 0.1141361E-01 0.1208767E-01 0.1278504E-01 0.1350575E-01 0.1424980E-01
 0.1501717E-01 0.1580785E-01 0.1662182E-01 0.1745903E-01 0.1831944E-01
 0.1920302E-01 0.2010971E-01 0.2103947E-01 0.2199221E-01 0.2296793E-01
 0.2396652E-01 0.2498794E-01 0.2603213E-01 0.2709900E-01 0.2818852E-01
 0.2930060E-01 0.3043519E-01 0.3159218E-01 0.3277155E-01 0.3397320E-01
 0.3519705E-01 0.3644304E-01 0.3771111E-01 0.3900116E-01 0.4031313E-01
 0.4164693E-01 0.4300250E-01 0.4437974E-01 0.4577855E-01 0.4719891E-01
 0.4864068E-01 0.5010379E-01 0.5158814E-01 0.5309367E-01 0.5462027E-01
 0.5616786E-01 0.5773634E-01 0.5932559E-01 0.6093557E-01 0.6256612E-01
 0.6421718E-01 0.6588861E-01 0.6758035E-01 0.6929228E-01 0.7102426E-01
 0.7277623E-01 0.7454804E-01 0.7633960E-01 0.7815082E-01 0.7998154E-01
 0.8183164E-01 0.8370106E-01 0.8558962E-01 0.8749724E-01 0.8942378E-01
 0.9136912E-01 0.9333315E-01 0.9531574E-01 0.9731676E-01 0.9933610E-01
 0.1013736E+00 0.1034292E+00 0.1055027E+00 0.1075940E+00 0.1097029E+00
 0.1118295E+00 0.1139734E+00 0.1161347E+00 0.1183131E+00 0.1205085E+00
 0.1227209E+00 0.1249501E+00 0.1271959E+00 0.1294583E+00 0.1317371E+00
 0.1340322E+00 0.1363435E+00 0.1386708E+00 0.1410141E+00 0.1433732E+00
 0.1457480E+00 0.1481383E+00 0.1505443E+00 0.1529656E+00 0.1554020E+00
 0.1578538E+00 0.1603205E+00 0.1628022E+00 0.1652988E+00 0.1678100E+00
 0.1703358E+00 0.1728761E+00 0.1754305E+00 0.1779991E+00 0.1805815E+00
 0.1831776E+00
 0.1086032E-04 0.1118086E-04 0.1151201E-04 0.1185415E-04 0.1220773E-04
 0.1257317E-04 0.1295096E-04 0.1334158E-04 0.1374554E-04 0.1416338E-04
 0.1459567E-04 0.1504299E-04 0.1550597E-04 0.1598524E-04 0.1648151E-04
 0.1699549E-04 0.1752793E-04 0.1807963E-04 0.1865143E-04 0.1924419E-04
 0.1985887E-04 0.2049643E-04 0.2115790E-04 0.2184438E-04 0.2255701E-04
 0.2329700E-04 0.2406564E-04 0.2486430E-04 0.2569441E-04 0.2655748E-04
 0.2745514E-04 0.2838908E-04 0.2936113E-04 0.3037320E-04 0.3142737E-04
 0.3252577E-04 0.3367075E-04 0.3486477E-04 0.3611046E-04 0.3741060E-04
